Date,NewLikes,DailyPostsReach,WeeklyPostShares,DailyPostShares,DailyPageActions,DailyPostsImpression
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-19,1806,1779295,545446,120747,50,6363587
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
2018-09-20,1648,1642344,549501,109788,41,6013914
